State,Year,Group_Name,Sub_Group_Name,Property Recovered,Property Stolen,Value of Property Recovered,Value of Property Stolen
Delaware,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,81,392,"41,82,210.00","7,50,18,747.10"
Florida,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,31,886,"18,76,605.60","2,75,04,987.40"
Colorado,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,36,50,"1,40,05,036.80","1,76,02,898.50"
South Dakota,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,48,111,"59,68,782.00","1,84,89,354.40"
California,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,5,26,"44,38,020.00","5,85,79,876.30"
Hawaii,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,8,"6,93,000.00","55,19,420.50"
New York,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,165,376,"2,57,67,684.00","16,25,77,753.80"
Idaho,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,21,"47,13,828.00","75,97,062.00"
Minnesota,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,578,950,"3,65,19,788.40","69,88,49,703.20"
Georgia,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,613,582,"9,27,57,291.60","13,50,45,190.50"
Kansas,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,16,105,"27,55,933.20","4,44,60,962.70"
Indiana,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,29,103,"1,57,50,524.40","2,66,22,255.00"
South Carolina,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,15,248,"3,93,678.00","1,08,92,605.90"
Michigan,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,118,321,"2,46,94,830.00","10,04,37,466.80"
Missouri,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,38,207,"50,84,856.00","76,79,86,921.90"
Arizona,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,221,308,"96,55,798.80","4,55,24,708.90"
Arkansas,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,920,1397,"13,68,89,580.00","1,77,62,77,221.40"
Ohio,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,27,"1,44,480.00","3,38,18,034.80"
West Virginia,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,1,14,"30,00,000.00","98,50,720.00"
Utah,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,15,23,"15,11,048.40","59,80,122.50"
North Dakota,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,14,"25,24,808.40","34,21,679.80"
Louisiana,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,75,231,"33,41,084.40","1,48,95,589.50"
Pennsylvania,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,4,5,"1,50,30,000.00","1,39,09,500.00"
Oregon,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,248,233,"9,84,18,830.40","12,50,90,628.30"
Vermont,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,139,192,"16,87,800.00","18,95,896.20"
Guam,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,9,#VALUE!,"22,92,107.40"
Wisconsin,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,44,111,"69,95,834.40","6,11,55,557.10"
Oklahoma,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,4,20,"4,46,647.20","38,72,264.00"
District of Columbia,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,290,509,"2,74,25,340.00","3,56,42,116.40"
Texas,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New Mexico,2006,Criminal Breach of Trust - Property,Criminal Breach of Trust,248,441,"2,26,85,786.40","8,57,97,758.20"
Nevada,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,6,#VALUE!,"16,24,829.80"
Montana,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,54,236,"1,27,05,946.80","7,01,42,648.40"
Maryland,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,17,35,"39,29,047.20","5,64,80,766.10"
Delaware,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,57,555,"18,97,323.60","3,74,44,093.50"
Florida,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,27,1113,"15,81,640.80","1,61,83,435.40"
Colorado,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,16,32,"22,98,612.00","33,64,764.70"
South Dakota,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,55,119,"1,31,18,223.60","3,40,76,700.90"
California,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,14,"3,62,55,912.00","4,62,92,925.80"
Hawaii,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,4,"13,20,000.00","17,87,527.50"
New York,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,170,383,"1,09,16,016.00","13,74,50,192.00"
Idaho,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,7,21,"14,31,180.00","2,94,85,518.70"
Minnesota,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,556,839,"4,87,98,603.60","47,86,33,233.10"
Georgia,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,597,575,"11,36,83,359.60","13,03,05,794.30"
Kansas,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,10,88,"18,99,874.80","3,30,74,055.30"
Indiana,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,31,49,"1,36,14,582.00","7,37,62,374.40"
South Carolina,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,19,176,"4,20,907.20","68,85,269.60"
Michigan,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,91,272,"1,28,04,156.00","9,07,06,496.10"
Missouri,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,18,253,"23,46,710.40","12,04,45,727.60"
Arizona,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,269,333,"2,30,09,457.60","3,39,54,463.40"
Arkansas,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,878,1378,"21,23,08,483.20","2,21,31,78,864.60"
Ohio,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,16,#VALUE!,"83,62,164.80"
West Virginia,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,14,"1,440.00","1,02,135.00"
Utah,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,7,16,"97,543.20","10,35,937.10"
North Dakota,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,4,9,"5,67,600.00","79,12,278.00"
Louisiana,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,109,271,"32,54,742.00","1,74,21,222.50"
Pennsylvania,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,5,"4,78,407.60","14,75,111.00"
Oregon,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,296,266,"19,84,38,528.00","20,95,20,306.60"
Vermont,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,185,272,"88,71,444.00","86,31,029.00"
Guam,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,6,#VALUE!,"22,84,445.90"
Wisconsin,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,120,218,"1,05,01,131.60","10,42,17,533.20"
Oklahoma,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,11,36,"90,000.00","1,08,23,558.90"
District of Columbia,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,918,1331,"4,91,57,991.60","8,69,14,366.00"
Texas,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New Mexico,2007,Criminal Breach of Trust - Property,Criminal Breach of Trust,233,569,"2,05,76,490.00","9,54,41,352.60"
Nevada,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,4,10,"74,602.80","47,64,718.20"
Montana,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,111,280,"1,28,43,114.00","8,40,89,903.70"
Maryland,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,37,"1,16,28,888.00","2,61,09,844.20"
Delaware,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,116,578,"62,23,296.00","4,85,18,647.10"
Florida,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,96,1149,"15,48,292.80","2,13,13,499.90"
Colorado,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,16,31,"1,24,48,466.40","2,00,51,266.40"
South Dakota,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,51,124,"2,06,38,933.20","5,39,03,545.30"
California,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,6,9,"55,68,759.60","1,89,98,324.40"
Hawaii,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,3,#VALUE!,"1,58,04,789.00"
New York,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,102,302,"30,14,400.00","7,34,66,228.00"
Idaho,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,6,34,"39,13,920.00","2,07,39,099.70"
Minnesota,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,492,779,"6,72,04,057.20","86,61,40,724.90"
Georgia,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,548,649,"7,63,05,464.40","11,10,04,389.10"
Kansas,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,93,"36,13,558.80","2,31,18,421.70"
Indiana,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,21,"4,58,736.00","41,82,508.00"
South Carolina,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,132,"5,82,240.00","1,66,90,558.50"
Michigan,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,124,306,"7,31,93,025.60","31,82,88,397.90"
Missouri,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,21,271,"97,98,117.60","1,05,77,08,734.50"
Arizona,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,318,383,"1,65,13,926.00","9,33,93,636.60"
Arkansas,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,894,1497,"18,34,93,914.00","3,78,70,05,423.30"
Ohio,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,20,"7,26,000.00","1,05,08,345.10"
West Virginia,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,8,24,"9,91,360.80","56,12,164.80"
Utah,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,19,24,"14,88,662.40","24,39,289.60"
North Dakota,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,14,#VALUE!,"74,43,232.50"
Louisiana,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,82,236,"3,31,54,191.60","5,48,90,778.80"
Pennsylvania,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,3,11,"1,74,000.00","34,44,705.00"
Oregon,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,222,201,"9,03,23,587.20","10,73,37,598.50"
Vermont,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,165,217,"33,55,178.40","35,70,580.20"
Guam,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,5,#VALUE!,"17,07,94,036.60"
Wisconsin,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,77,156,"1,47,74,655.60","4,81,40,075.50"
Oklahoma,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,36,"84,360.00","1,87,66,146.30"
District of Columbia,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,1117,1707,"7,29,27,288.00","18,72,28,295.10"
Texas,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New Mexico,2008,Criminal Breach of Trust - Property,Criminal Breach of Trust,279,725,"3,42,71,887.20","13,43,46,339.60"
Nevada,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,6,#VALUE!,"2,06,693.30"
Montana,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,163,396,"4,58,20,502.40","16,76,29,353.10"
Maryland,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,32,"39,77,412.00","4,94,70,751.00"
Delaware,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,40,682,"37,21,272.00","4,36,90,440.20"
Florida,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,38,1008,"41,35,046.40","2,20,83,477.90"
Colorado,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,12,32,"16,42,512.00","47,25,655.00"
South Dakota,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,64,141,"1,12,33,626.00","2,51,55,804.30"
California,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,14,"51,17,024.40","1,40,71,640.00"
Hawaii,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,1,5,"12,54,786.00","31,29,797.00"
New York,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,108,283,"3,12,76,317.60","18,51,10,539.90"
Idaho,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,39,"24,35,332.80","55,08,07,648.60"
Minnesota,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,459,839,"15,14,27,356.80","1,12,40,06,461.60"
Georgia,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,589,647,"11,41,50,049.20","13,24,51,800.80"
Kansas,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,16,75,"40,92,345.60","2,51,14,955.80"
Indiana,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,16,31,"54,44,850.00","1,12,47,172.20"
South Carolina,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,48,376,"16,36,590.00","1,75,46,589.50"
Michigan,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,99,331,"1,64,60,334.00","95,25,20,945.20"
Missouri,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,30,216,"24,28,065.60","15,54,06,788.90"
Arizona,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,323,371,"2,30,51,971.20","5,69,22,284.10"
Arkansas,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,936,1475,"17,10,07,819.20","1,63,14,96,013.40"
Ohio,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,16,#VALUE!,"35,55,090.00"
West Virginia,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,3,22,"8,55,600.00","81,57,099.50"
Utah,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,13,26,"9,23,894.40","24,76,272.70"
North Dakota,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,1,5,"84,000.00","1,08,00,185.00"
Louisiana,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,40,149,"13,51,941.60","2,27,15,364.10"
Pennsylvania,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,3,6,"12,59,256.00","49,03,110.30"
Oregon,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,204,189,"7,45,59,933.60","9,56,25,158.20"
Vermont,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,212,251,"31,61,784.00","34,38,839.80"
Guam,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,3,#VALUE!,"41,61,744.40"
Wisconsin,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,69,174,"3,07,30,930.80","10,91,45,494.70"
Oklahoma,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,47,44,"33,600.00","1,96,22,427.00"
District of Columbia,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,503,1000,"2,58,30,387.60","5,32,40,374.00"
Texas,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New Mexico,2009,Criminal Breach of Trust - Property,Criminal Breach of Trust,313,762,"3,60,99,518.40","16,64,28,384.10"
Nevada,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,9,"1,77,172.80","5,83,158.40"
Montana,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,115,354,"1,83,78,674.40","11,19,99,541.50"
Maryland,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,20,50,"2,28,58,464.00","12,57,45,552.90"
Delaware,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,42,843,"19,75,741.20","2,97,19,801.10"
Florida,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,36,910,"5,57,737.20","1,44,62,960.60"
Colorado,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,5,20,"3,36,000.00","14,91,600.00"
South Dakota,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,79,167,"1,25,52,386.40","4,11,88,662.90"
California,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,7,10,"15,51,061.20","53,31,415.10"
Hawaii,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,1,3,"12,000.00","1,63,900.00"
New York,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,82,232,"86,72,706.00","7,91,39,581.40"
Idaho,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,22,38,"44,92,800.00","1,77,69,374.70"
Minnesota,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,414,847,"8,70,70,303.20","83,32,13,527.30"
Georgia,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,506,632,"24,93,05,952.00","26,85,93,328.30"
Kansas,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,60,"5,43,405.60","2,39,52,382.30"
Indiana,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,14,31,"40,37,760.00","1,62,12,680.00"
South Carolina,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,150,339,"27,20,010.00","23,90,79,324.00"
Michigan,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,187,323,"51,76,665.60","13,20,11,932.80"
Missouri,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,45,224,"69,47,433.60","53,03,83,285.30"
Arizona,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,239,315,"3,84,81,218.40","11,58,87,724.70"
Arkansas,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,1118,1540,"38,40,14,034.00","13,35,49,95,693.60"
Ohio,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,20,#VALUE!,"2,25,84,764.40"
West Virginia,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,3,27,"1,96,800.00","52,50,223.00"
Utah,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,22,21,"23,53,507.20","23,43,210.10"
North Dakota,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,2,11,"1,71,600.00","13,48,600.00"
Louisiana,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,69,203,"1,68,05,353.20","5,59,04,703.80"
Pennsylvania,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,9,10,"7,87,971.60","34,18,798.90"
Oregon,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,218,193,"2,73,37,491.60","9,62,45,801.30"
Vermont,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,195,205,"18,96,000.00","19,69,000.00"
Guam,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,1,#VALUE!,"8,78,497.40"
Wisconsin,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,50,133,"1,27,46,234.40","41,29,54,901.70"
Oklahoma,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,40,37,"14,46,194.40","1,19,99,489.70"
District of Columbia,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,299,734,"4,78,75,095.60","7,15,62,213.80"
Texas,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New Mexico,2010,Criminal Breach of Trust - Property,Criminal Breach of Trust,206,847,"34,27,97,613.60","1,17,15,29,152.20"
Nevada,2001,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Montana,2001,Dacoity -Property,Dacoity,97,173,"1,51,39,791.60","3,20,40,467.80"
Maryland,2001,Dacoity -Property,Dacoity,6,19,"4,81,591.20","65,64,654.80"
Delaware,2001,Dacoity -Property,Dacoity,118,452,"53,42,215.20","1,75,03,359.50"
Florida,2001,Dacoity -Property,Dacoity,239,1097,"99,57,397.20","7,31,64,510.10"
Colorado,2001,Dacoity -Property,Dacoity,4,4,"36,000.00","1,01,200.00"
South Dakota,2001,Dacoity -Property,Dacoity,61,74,"28,38,255.60","65,11,260.80"
California,2001,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hawaii,2001,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New York,2001,Dacoity -Property,Dacoity,30,41,"35,84,400.00","1,45,38,920.00"
Idaho,2001,Dacoity -Property,Dacoity,3,6,"1,57,712.40","5,76,539.70"
Minnesota,2001,Dacoity -Property,Dacoity,173,266,"2,25,94,268.40","6,86,48,019.00"
Georgia,2001,Dacoity -Property,Dacoity,58,65,"1,85,17,789.20","2,25,14,845.10"
Kansas,2001,Dacoity -Property,Dacoity,2,3,"5,14,800.00","5,91,019.00"
Indiana,2001,Dacoity -Property,Dacoity,3,20,"3,92,772.00","16,35,953.00"
South Carolina,2001,Dacoity -Property,Dacoity,85,428,"30,22,209.60","1,98,76,906.50"
Michigan,2001,Dacoity -Property,Dacoity,94,151,"1,44,27,684.00","2,35,95,302.50"
Missouri,2001,Dacoity -Property,Dacoity,50,119,"32,72,665.20","1,44,01,414.50"
Arizona,2001,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2001,Dacoity -Property,Dacoity,104,141,"1,22,60,563.20","1,67,77,059.20"
Arkansas,2001,Dacoity -Property,Dacoity,346,445,"5,01,57,896.40","11,72,91,071.70"
Ohio,2001,Dacoity -Property,Dacoity,1,17,"3,60,000.00","19,97,765.00"
West Virginia,2001,Dacoity -Property,Dacoity,18,82,"6,72,480.00","40,24,772.40"
Utah,2001,Dacoity -Property,Dacoity,#VALUE!,2,#VALUE!,"52,695.50"
North Dakota,2001,Dacoity -Property,Dacoity,2,8,"4,20,000.00","8,94,877.50"
Louisiana,2001,Dacoity -Property,Dacoity,108,166,"51,84,228.00","2,87,68,990.80"
Pennsylvania,2001,Dacoity -Property,Dacoity,1,1,"1,20,000.00","1,32,000.00"
Oregon,2001,Dacoity -Property,Dacoity,22,38,"5,10,324.00","5,26,98,891.30"
Vermont,2001,Dacoity -Property,Dacoity,37,47,"93,12,721.20","98,15,406.70"
Guam,2001,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Wisconsin,2001,Dacoity -Property,Dacoity,101,134,"3,65,75,497.20","4,28,94,702.40"
Oklahoma,2001,Dacoity -Property,Dacoity,7,22,"72,720.00","26,74,776.50"
District of Columbia,2001,Dacoity -Property,Dacoity,321,529,"3,29,85,728.40","6,45,51,477.10"
Texas,2001,Dacoity -Property,Dacoity,9,27,"9,35,994.00","61,13,464.50"
New Mexico,2001,Dacoity -Property,Dacoity,101,233,"1,51,21,658.40","3,13,89,620.90"
Nevada,2002,Dacoity -Property,Dacoity,1,1,"60,000.00","55,000.00"
Montana,2002,Dacoity -Property,Dacoity,102,164,"1,58,20,256.40","2,73,24,698.50"
Maryland,2002,Dacoity -Property,Dacoity,4,19,"11,78,820.00","40,10,976.20"
Delaware,2002,Dacoity -Property,Dacoity,92,402,"30,66,319.20","1,59,49,345.50"
Florida,2002,Dacoity -Property,Dacoity,191,1096,"95,38,876.80","6,71,89,364.00"
Colorado,2002,Dacoity -Property,Dacoity,1,1,"27,840.00","25,520.00"
South Dakota,2002,Dacoity -Property,Dacoity,44,122,"36,21,794.40","1,69,94,841.60"
California,2002,Dacoity -Property,Dacoity,#VALUE!,1,#VALUE!,"51,315.00"
Hawaii,2002,Dacoity -Property,Dacoity,1,2,"6,00,000.00","5,90,700.00"
New York,2002,Dacoity -Property,Dacoity,43,40,"15,60,684.00","57,52,230.00"
Idaho,2002,Dacoity -Property,Dacoity,2,4,"6,66,360.00","11,91,630.00"
Minnesota,2002,Dacoity -Property,Dacoity,415,660,"2,01,46,610.40","1,52,34,89,760.10"
Georgia,2002,Dacoity -Property,Dacoity,47,52,"2,05,89,686.40","2,16,04,253.00"
Kansas,2002,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Indiana,2002,Dacoity -Property,Dacoity,4,36,"2,12,460.00","24,68,733.30"
South Carolina,2002,Dacoity -Property,Dacoity,153,493,"69,65,125.20","2,86,58,336.30"
Michigan,2002,Dacoity -Property,Dacoity,82,151,"2,22,30,661.20","3,93,72,589.30"
Missouri,2002,Dacoity -Property,Dacoity,45,106,"1,27,72,944.00","2,17,85,005.00"
Arizona,2002,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alaska,2002,Dacoity -Property,Dacoity,94,116,"2,26,37,215.20","2,85,39,734.30"
Arkansas,2002,Dacoity -Property,Dacoity,332,461,"4,87,42,437.60","13,07,91,725.90"
Ohio,2002,Dacoity -Property,Dacoity,#VALUE!,3,#VALUE!,"13,200.00"
West Virginia,2002,Dacoity -Property,Dacoity,11,54,"13,30,942.80","46,53,944.90"
Utah,2002,Dacoity -Property,Dacoity,1,4,"1,800.00","1,35,575.00"
North Dakota,2002,Dacoity -Property,Dacoity,3,13,"2,17,740.00","10,94,844.30"
Louisiana,2002,Dacoity -Property,Dacoity,107,196,"92,78,737.20","1,94,23,781.30"
Pennsylvania,2002,Dacoity -Property,Dacoity,2,2,"1,86,000.00","1,70,500.00"
Oregon,2002,Dacoity -Property,Dacoity,33,43,"17,09,982.00","71,67,232.60"
Vermont,2002,Dacoity -Property,Dacoity,30,38,"67,44,480.00","95,14,967.00"
Guam,2002,Dacoity -Property,Dacoity,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Wisconsin,2002,Dacoity -Property,Dacoity,145,148,"4,51,54,761.60","5,03,78,080.50"
Oklahoma,2002,Dacoity -Property,Dacoity,7,25,"2,22,120.00","33,74,057.50"
District of Columbia,2002,Dacoity -Property,Dacoity,204,278,"1,73,72,124.00","3,26,83,311.10"
Texas,2002,Dacoity -Property,Dacoity,15,21,"18,79,176.00","37,28,560.00"
New Mexico,2002,Dacoity -Property,Dacoity,106,173,"1,24,73,122.80","2,86,10,071.60"
Nevada,2003,Dacoity -Property,Dacoity,1,2,"8,400.00","1,17,700.00"
Montana,2003,Dacoity -Property,Dacoity,96,147,"1,63,34,570.40","4,71,35,012.10"
Maryland,2003,Dacoity -Property,Dacoity,8,31,"3,00,621.60","24,63,905.40"
Delaware,2003,Dacoity -Property,Dacoity,85,400,"53,73,660.00","1,92,20,862.10"
Florida,2003,Dacoity -Property,Dacoity,164,1038,"70,22,196.00","5,69,99,732.90"
Colorado,2003,Dacoity -Property,Dacoity,3,3,"13,060.80","16,720.00"
