State,Year,Group Name,Cases Registered under Human Rights Violations,Policemen Chargesheeted,Policemen Convicted
Arkansas,2010,Fake Encounter Killings,59,42,1
Ohio,2010,Fake Encounter Killings,4,47,2
West Virginia,2010,Fake Encounter Killings,195,38,21
North Dakota,2010,Fake Encounter Killings,8,51,15
Louisiana,2010,Fake Encounter Killings,13,7,29
New Mexico,2010,Fake Encounter Killings,226,49,33
Montana,2001,Extortion,20,36,1
Maryland,2001,Extortion,238,34,19
Delaware,2001,Extortion,135,24,19
Florida,2001,Extortion,179,44,22
Colorado,2001,Extortion,82,13,27
South Dakota,2001,Extortion,85,58,31
New York,2001,Extortion,238,47,15
Minnesota,2001,Extortion,222,64,8
Georgia,2001,Extortion,123,18,0
Kansas,2001,Extortion,100,69,4
Indiana,2001,Extortion,92,47,5
South Carolina,2001,Extortion,184,50,22
Michigan,2001,Extortion,99,61,23
Arkansas,2001,Extortion,200,27,14
West Virginia,2001,Extortion,9,2,38
North Dakota,2001,Extortion,148,33,24
Louisiana,2001,Extortion,79,16,1
New Mexico,2001,Extortion,142,41,36
Montana,2002,Extortion,198,37,8
Delaware,2002,Extortion,229,65,24
Florida,2002,Extortion,228,40,2
Colorado,2002,Extortion,50,11,10
South Dakota,2002,Extortion,131,6,40
Hawaii,2002,Extortion,15,9,8
Minnesota,2002,Extortion,148,24,7
Georgia,2002,Extortion,77,9,39
Kansas,2002,Extortion,22,57,40
Indiana,2002,Extortion,190,24,14
Michigan,2002,Extortion,32,49,21
Alaska,2002,Extortion,238,58,28
Arkansas,2002,Extortion,76,28,33
West Virginia,2002,Extortion,195,48,5
North Dakota,2002,Extortion,53,38,10
Louisiana,2002,Extortion,103,43,30
Oregon,2002,Extortion,45,69,13
New Mexico,2002,Extortion,144,26,6
Montana,2003,Extortion,90,12,11
Maryland,2003,Extortion,98,61,29
Delaware,2003,Extortion,153,13,4
Florida,2003,Extortion,101,66,25
Colorado,2003,Extortion,1,7,22
South Dakota,2003,Extortion,153,2,30
Hawaii,2003,Extortion,243,68,20
Minnesota,2003,Extortion,89,55,12
Georgia,2003,Extortion,147,37,40
Kansas,2003,Extortion,215,25,35
Indiana,2003,Extortion,233,30,6
Michigan,2003,Extortion,18,32,17
Alaska,2003,Extortion,85,21,17
Arkansas,2003,Extortion,228,27,1
West Virginia,2003,Extortion,191,22,30
North Dakota,2003,Extortion,162,2,29
Louisiana,2003,Extortion,70,11,18
Oregon,2003,Extortion,220,44,38
Wisconsin,2003,Extortion,110,20,4
New Mexico,2003,Extortion,121,19,29
Montana,2004,Extortion,9,67,27
Maryland,2004,Extortion,186,57,29
Florida,2004,Extortion,60,38,5
South Dakota,2004,Extortion,194,45,29
Minnesota,2004,Extortion,216,23,21
Kansas,2004,Extortion,183,36,16
Michigan,2004,Extortion,98,49,28
Alaska,2004,Extortion,246,52,24
Arkansas,2004,Extortion,33,66,12
Ohio,2004,Extortion,222,39,26
West Virginia,2004,Extortion,53,4,5
Utah,2004,Extortion,139,25,35
North Dakota,2004,Extortion,110,60,4
Louisiana,2004,Extortion,70,49,12
Oregon,2004,Extortion,240,18,8
Wisconsin,2004,Extortion,228,37,14
New Mexico,2004,Extortion,189,18,13
Montana,2005,Extortion,193,56,12
Maryland,2005,Extortion,104,18,30
Delaware,2005,Extortion,204,41,17
Colorado,2005,Extortion,167,24,11
South Dakota,2005,Extortion,136,49,7
Minnesota,2005,Extortion,99,67,9
Georgia,2005,Extortion,6,57,26
Kansas,2005,Extortion,119,26,38
Indiana,2005,Extortion,137,45,1
South Carolina,2005,Extortion,130,14,28
Michigan,2005,Extortion,101,69,19
Alaska,2005,Extortion,184,64,32
Arkansas,2005,Extortion,1,37,9
Ohio,2005,Extortion,205,22,5
West Virginia,2005,Extortion,30,54,0
Utah,2005,Extortion,186,55,30
North Dakota,2005,Extortion,90,70,6
Louisiana,2005,Extortion,195,34,19
Oregon,2005,Extortion,88,59,23
District of Columbia,2005,Extortion,24,25,18
New Mexico,2005,Extortion,59,62,33
Montana,2006,Extortion,207,7,21
Maryland,2006,Extortion,7,43,30
Delaware,2006,Extortion,224,12,1
Colorado,2006,Extortion,97,36,0
South Dakota,2006,Extortion,26,52,13
Minnesota,2006,Extortion,104,63,30
Kansas,2006,Extortion,13,15,39
Indiana,2006,Extortion,160,44,15
South Carolina,2006,Extortion,74,70,29
Michigan,2006,Extortion,57,57,26
Alaska,2006,Extortion,58,3,18
Ohio,2006,Extortion,87,67,16
West Virginia,2006,Extortion,168,2,39
Utah,2006,Extortion,85,61,2
North Dakota,2006,Extortion,222,7,39
Louisiana,2006,Extortion,118,55,26
Wisconsin,2006,Extortion,245,62,37
District of Columbia,2006,Extortion,209,39,4
New Mexico,2006,Extortion,227,23,18
Montana,2007,Extortion,175,59,25
Maryland,2007,Extortion,212,35,27
Delaware,2007,Extortion,101,13,8
Florida,2007,Extortion,209,13,22
South Dakota,2007,Extortion,110,58,15
Idaho,2007,Extortion,189,19,26
Minnesota,2007,Extortion,42,23,2
Georgia,2007,Extortion,169,43,19
Kansas,2007,Extortion,132,44,20
Indiana,2007,Extortion,80,48,36
Michigan,2007,Extortion,204,48,0
Missouri,2007,Extortion,30,31,21
Alaska,2007,Extortion,123,43,19
Arkansas,2007,Extortion,169,18,28
Ohio,2007,Extortion,209,11,35
West Virginia,2007,Extortion,54,19,24
Utah,2007,Extortion,99,56,11
North Dakota,2007,Extortion,173,69,21
Louisiana,2007,Extortion,98,46,9
Wisconsin,2007,Extortion,181,64,12
Oklahoma,2007,Extortion,178,53,12
District of Columbia,2007,Extortion,141,52,24
New Mexico,2007,Extortion,134,14,25
Montana,2008,Extortion,37,30,16
Maryland,2008,Extortion,72,23,33
Delaware,2008,Extortion,16,36,17
Florida,2008,Extortion,189,9,21
South Dakota,2008,Extortion,24,65,13
New York,2008,Extortion,214,0,38
Minnesota,2008,Extortion,245,59,24
Georgia,2008,Extortion,62,54,11
Kansas,2008,Extortion,146,58,17
Indiana,2008,Extortion,86,31,34
Michigan,2008,Extortion,142,47,3
Arkansas,2008,Extortion,19,42,2
Ohio,2008,Extortion,84,43,21
West Virginia,2008,Extortion,112,50,29
Utah,2008,Extortion,181,20,27
North Dakota,2008,Extortion,120,24,31
Louisiana,2008,Extortion,172,69,7
New Mexico,2008,Extortion,212,25,11
Montana,2009,Extortion,171,69,13
Maryland,2009,Extortion,2,29,10
Delaware,2009,Extortion,72,13,29
Florida,2009,Extortion,250,62,29
Colorado,2009,Extortion,178,36,24
South Dakota,2009,Extortion,2,7,1
New York,2009,Extortion,223,64,28
Minnesota,2009,Extortion,2,9,37
Georgia,2009,Extortion,237,58,39
Kansas,2009,Extortion,66,24,27
Indiana,2009,Extortion,21,7,37
Michigan,2009,Extortion,61,31,25
Missouri,2009,Extortion,166,12,9
Arkansas,2009,Extortion,3,66,9
Ohio,2009,Extortion,58,41,40
West Virginia,2009,Extortion,177,8,21
North Dakota,2009,Extortion,158,22,19
Louisiana,2009,Extortion,83,57,31
Wisconsin,2009,Extortion,147,43,10
New Mexico,2009,Extortion,204,16,38
Montana,2010,Extortion,234,5,36
Maryland,2010,Extortion,114,1,1
Florida,2010,Extortion,174,21,5
South Dakota,2010,Extortion,124,16,9
Minnesota,2010,Extortion,3,4,40
Kansas,2010,Extortion,25,52,29
Indiana,2010,Extortion,181,35,34
Michigan,2010,Extortion,84,55,35
Missouri,2010,Extortion,180,37,28
Arkansas,2010,Extortion,138,2,18
Ohio,2010,Extortion,176,19,29
West Virginia,2010,Extortion,227,56,28
North Dakota,2010,Extortion,175,57,35
Louisiana,2010,Extortion,186,55,22
District of Columbia,2010,Extortion,176,42,29
New Mexico,2010,Extortion,212,42,3
Montana,2001,Torture,237,19,17
Maryland,2001,Torture,107,18,15
Delaware,2001,Torture,213,46,37
Florida,2001,Torture,83,51,24
Colorado,2001,Torture,124,49,31
South Dakota,2001,Torture,151,0,36
Minnesota,2001,Torture,28,16,1
Georgia,2001,Torture,96,56,0
Kansas,2001,Torture,88,9,4
Indiana,2001,Torture,138,44,27
South Carolina,2001,Torture,4,2,13
Michigan,2001,Torture,127,37,10
Alaska,2001,Torture,204,63,35
Arkansas,2001,Torture,165,20,15
West Virginia,2001,Torture,184,53,5
North Dakota,2001,Torture,126,42,35
Louisiana,2001,Torture,166,45,10
Oregon,2001,Torture,98,49,18
District of Columbia,2001,Torture,175,46,7
New Mexico,2001,Torture,178,15,21
Montana,2002,Torture,18,17,19
Delaware,2002,Torture,165,16,1
Florida,2002,Torture,218,4,27
Colorado,2002,Torture,216,67,16
South Dakota,2002,Torture,60,68,25
Hawaii,2002,Torture,92,42,5
Minnesota,2002,Torture,188,18,33
Georgia,2002,Torture,233,63,17
Kansas,2002,Torture,76,16,3
Indiana,2002,Torture,66,49,5
Michigan,2002,Torture,80,32,13
Alaska,2002,Torture,130,13,6
Arkansas,2002,Torture,47,28,19
West Virginia,2002,Torture,197,53,23
North Dakota,2002,Torture,82,15,2
Louisiana,2002,Torture,154,65,34
Oregon,2002,Torture,83,67,21
Vermont,2002,Torture,114,16,14
New Mexico,2002,Torture,98,11,33
Montana,2003,Torture,240,29,10
Maryland,2003,Torture,15,6,32
Delaware,2003,Torture,163,35,29
Florida,2003,Torture,231,5,6
Colorado,2003,Torture,239,19,6
South Dakota,2003,Torture,35,13,11
Hawaii,2003,Torture,88,62,38
Minnesota,2003,Torture,70,2,6
Georgia,2003,Torture,52,60,18
Kansas,2003,Torture,40,44,0
Indiana,2003,Torture,161,52,12
Michigan,2003,Torture,37,11,17
Arkansas,2003,Torture,83,62,32
West Virginia,2003,Torture,224,21,9
North Dakota,2003,Torture,101,13,1
Louisiana,2003,Torture,236,59,10
Oregon,2003,Torture,132,68,26
New Mexico,2003,Torture,79,3,36
Montana,2004,Torture,231,68,37
Maryland,2004,Torture,234,52,25
Florida,2004,Torture,154,31,2
South Dakota,2004,Torture,238,53,21
Minnesota,2004,Torture,136,47,31
Kansas,2004,Torture,231,50,3
Michigan,2004,Torture,185,9,8
Alaska,2004,Torture,164,26,10
Arkansas,2004,Torture,180,60,30
Ohio,2004,Torture,83,13,16
West Virginia,2004,Torture,248,69,18
Utah,2004,Torture,111,37,8
North Dakota,2004,Torture,183,27,17
Louisiana,2004,Torture,122,6,39
Oregon,2004,Torture,151,69,3
Wisconsin,2004,Torture,15,51,4
New Mexico,2004,Torture,126,33,13
Montana,2005,Torture,108,37,19
Maryland,2005,Torture,239,6,20
Delaware,2005,Torture,52,13,37
Colorado,2005,Torture,148,18,13
South Dakota,2005,Torture,63,66,29
Minnesota,2005,Torture,136,65,28
Georgia,2005,Torture,107,65,39
Kansas,2005,Torture,11,18,37
Indiana,2005,Torture,18,32,0
South Carolina,2005,Torture,77,24,34
Michigan,2005,Torture,117,29,8
Missouri,2005,Torture,50,52,22
Alaska,2005,Torture,127,34,20
Arkansas,2005,Torture,245,63,1
Ohio,2005,Torture,126,29,0
West Virginia,2005,Torture,74,59,36
Utah,2005,Torture,106,6,12
North Dakota,2005,Torture,193,9,40
Louisiana,2005,Torture,61,29,34
Oregon,2005,Torture,245,18,10
District of Columbia,2005,Torture,31,69,33
New Mexico,2005,Torture,154,11,33
Montana,2006,Torture,21,50,37
Maryland,2006,Torture,238,26,24
Delaware,2006,Torture,84,64,20
Colorado,2006,Torture,129,39,10
South Dakota,2006,Torture,50,40,11
Minnesota,2006,Torture,124,22,26
Kansas,2006,Torture,9,25,32
Indiana,2006,Torture,229,34,28
South Carolina,2006,Torture,59,55,13
Michigan,2006,Torture,129,68,13
Alaska,2006,Torture,88,60,20
Ohio,2006,Torture,218,39,1
West Virginia,2006,Torture,114,61,19
Utah,2006,Torture,24,17,16
North Dakota,2006,Torture,51,50,19
Louisiana,2006,Torture,37,20,14
Wisconsin,2006,Torture,70,19,23
District of Columbia,2006,Torture,120,57,29
New Mexico,2006,Torture,9,57,21
Montana,2007,Torture,229,48,20
Maryland,2007,Torture,236,9,14
Delaware,2007,Torture,105,26,30
Florida,2007,Torture,193,44,21
South Dakota,2007,Torture,142,32,8
Minnesota,2007,Torture,2,21,10
Georgia,2007,Torture,93,47,34
Kansas,2007,Torture,245,54,6
Indiana,2007,Torture,91,57,38
Michigan,2007,Torture,121,69,11
Missouri,2007,Torture,242,34,28
Alaska,2007,Torture,13,59,27
Arkansas,2007,Torture,20,70,24
Ohio,2007,Torture,93,49,24
West Virginia,2007,Torture,157,16,14
Utah,2007,Torture,34,34,10
North Dakota,2007,Torture,160,55,12
Louisiana,2007,Torture,58,4,38
Wisconsin,2007,Torture,75,21,12
Oklahoma,2007,Torture,86,15,3
District of Columbia,2007,Torture,219,64,26
New Mexico,2007,Torture,86,7,31
Montana,2008,Torture,216,57,6
Maryland,2008,Torture,129,19,5
Delaware,2008,Torture,9,29,11
Florida,2008,Torture,107,63,38
South Dakota,2008,Torture,209,5,27
Minnesota,2008,Torture,250,32,0
Georgia,2008,Torture,107,0,25
Kansas,2008,Torture,233,28,22
Indiana,2008,Torture,163,56,24
Michigan,2008,Torture,6,39,8
Arkansas,2008,Torture,183,25,40
Ohio,2008,Torture,112,11,6
West Virginia,2008,Torture,132,56,6
Utah,2008,Torture,23,41,28
North Dakota,2008,Torture,55,41,12
Louisiana,2008,Torture,33,15,32
District of Columbia,2008,Torture,31,8,33
New Mexico,2008,Torture,148,26,20
Montana,2009,Torture,210,54,17
Maryland,2009,Torture,77,0,35
Delaware,2009,Torture,241,22,34
Florida,2009,Torture,173,40,16
Colorado,2009,Torture,143,19,22
South Dakota,2009,Torture,101,56,38
Minnesota,2009,Torture,149,56,34
Georgia,2009,Torture,207,21,15
Kansas,2009,Torture,227,7,5
Indiana,2009,Torture,24,15,25
Michigan,2009,Torture,176,1,13
Arkansas,2009,Torture,208,48,9
Ohio,2009,Torture,149,36,39
West Virginia,2009,Torture,90,64,37
North Dakota,2009,Torture,72,62,38
Louisiana,2009,Torture,164,53,32
Wisconsin,2009,Torture,123,29,2
New Mexico,2009,Torture,166,58,9
Montana,2010,Torture,144,63,14
Maryland,2010,Torture,26,61,5
Delaware,2010,Torture,151,10,40
Florida,2010,Torture,148,7,26
South Dakota,2010,Torture,114,63,7
Minnesota,2010,Torture,40,51,11
Georgia,2010,Torture,167,46,25
Kansas,2010,Torture,169,32,38
Indiana,2010,Torture,116,30,20
Michigan,2010,Torture,175,37,20
Arkansas,2010,Torture,249,19,13
Ohio,2010,Torture,227,4,40
West Virginia,2010,Torture,156,47,33
North Dakota,2010,Torture,33,15,10
Louisiana,2010,Torture,153,23,34
District of Columbia,2010,Torture,60,61,3
New Mexico,2010,Torture,36,48,29
Montana,2001,Indignity to Women,206,62,23
Maryland,2001,Indignity to Women,207,44,18
Delaware,2001,Indignity to Women,28,63,0
Florida,2001,Indignity to Women,85,40,10
Colorado,2001,Indignity to Women,153,70,2
South Dakota,2001,Indignity to Women,16,3,32
New York,2001,Indignity to Women,16,15,0
Minnesota,2001,Indignity to Women,48,6,8
Georgia,2001,Indignity to Women,174,14,14
Kansas,2001,Indignity to Women,195,1,36
Indiana,2001,Indignity to Women,144,40,32
South Carolina,2001,Indignity to Women,213,30,7
Michigan,2001,Indignity to Women,196,40,7
Arkansas,2001,Indignity to Women,239,2,31
West Virginia,2001,Indignity to Women,170,24,12
North Dakota,2001,Indignity to Women,77,52,3
Louisiana,2001,Indignity to Women,155,36,12
District of Columbia,2001,Indignity to Women,47,63,31
New Mexico,2001,Indignity to Women,53,20,5
Montana,2002,Indignity to Women,143,18,31
Delaware,2002,Indignity to Women,203,23,18
Florida,2002,Indignity to Women,233,43,8
Colorado,2002,Indignity to Women,55,54,23
South Dakota,2002,Indignity to Women,54,26,26
Hawaii,2002,Indignity to Women,13,7,11
Minnesota,2002,Indignity to Women,178,34,27
Georgia,2002,Indignity to Women,229,32,26
Kansas,2002,Indignity to Women,27,45,17
Indiana,2002,Indignity to Women,241,70,7
Michigan,2002,Indignity to Women,231,23,16
Alaska,2002,Indignity to Women,150,53,39
Arkansas,2002,Indignity to Women,223,70,29
West Virginia,2002,Indignity to Women,53,9,37
North Dakota,2002,Indignity to Women,222,17,26
Louisiana,2002,Indignity to Women,8,40,3
Oregon,2002,Indignity to Women,92,9,15
New Mexico,2002,Indignity to Women,212,64,11
Montana,2003,Indignity to Women,29,12,6
Maryland,2003,Indignity to Women,228,18,39
Delaware,2003,Indignity to Women,247,31,13
Florida,2003,Indignity to Women,151,37,11
Colorado,2003,Indignity to Women,182,47,17
South Dakota,2003,Indignity to Women,2,10,26
Hawaii,2003,Indignity to Women,77,26,25
Minnesota,2003,Indignity to Women,99,66,28
Georgia,2003,Indignity to Women,187,69,10
Kansas,2003,Indignity to Women,45,21,38
Indiana,2003,Indignity to Women,80,39,6
Michigan,2003,Indignity to Women,5,28,22
Alaska,2003,Indignity to Women,226,10,23
Arkansas,2003,Indignity to Women,51,16,7
West Virginia,2003,Indignity to Women,23,29,5
North Dakota,2003,Indignity to Women,201,13,26
Louisiana,2003,Indignity to Women,160,58,28
Oregon,2003,Indignity to Women,106,53,37
New Mexico,2003,Indignity to Women,89,26,33
Montana,2004,Indignity to Women,134,9,33
Maryland,2004,Indignity to Women,28,63,2
Florida,2004,Indignity to Women,237,47,28
South Dakota,2004,Indignity to Women,219,57,31
Minnesota,2004,Indignity to Women,185,0,29
Kansas,2004,Indignity to Women,237,30,20
Michigan,2004,Indignity to Women,108,58,3
Alaska,2004,Indignity to Women,196,70,29
Arkansas,2004,Indignity to Women,40,64,9
Ohio,2004,Indignity to Women,5,44,16
West Virginia,2004,Indignity to Women,242,19,26
Utah,2004,Indignity to Women,70,52,8
North Dakota,2004,Indignity to Women,226,48,15
Louisiana,2004,Indignity to Women,144,54,11
Oregon,2004,Indignity to Women,202,4,2
Wisconsin,2004,Indignity to Women,208,68,26
New Mexico,2004,Indignity to Women,107,63,12
Montana,2005,Indignity to Women,81,5,28
Maryland,2005,Indignity to Women,59,31,10
Delaware,2005,Indignity to Women,238,29,20
Colorado,2005,Indignity to Women,237,10,40
South Dakota,2005,Indignity to Women,155,9,16
Minnesota,2005,Indignity to Women,166,58,24
Georgia,2005,Indignity to Women,52,67,24
Kansas,2005,Indignity to Women,77,9,33
Indiana,2005,Indignity to Women,29,26,38
South Carolina,2005,Indignity to Women,42,69,4
Michigan,2005,Indignity to Women,28,12,12
Alaska,2005,Indignity to Women,9,45,40
Arkansas,2005,Indignity to Women,183,61,33
Ohio,2005,Indignity to Women,228,3,25
West Virginia,2005,Indignity to Women,235,9,2
Utah,2005,Indignity to Women,201,31,10
North Dakota,2005,Indignity to Women,209,63,32
Louisiana,2005,Indignity to Women,128,20,9
Oregon,2005,Indignity to Women,0,51,28
District of Columbia,2005,Indignity to Women,110,30,27
New Mexico,2005,Indignity to Women,116,35,10
Montana,2006,Indignity to Women,76,42,5
Maryland,2006,Indignity to Women,236,10,20
Delaware,2006,Indignity to Women,63,4,28
Colorado,2006,Indignity to Women,46,23,10
South Dakota,2006,Indignity to Women,228,43,20
Minnesota,2006,Indignity to Women,160,1,18
Kansas,2006,Indignity to Women,46,38,32
Indiana,2006,Indignity to Women,230,57,8
South Carolina,2006,Indignity to Women,179,35,16
Michigan,2006,Indignity to Women,183,35,9
Alaska,2006,Indignity to Women,146,53,39
Arkansas,2006,Indignity to Women,3,4,40
Ohio,2006,Indignity to Women,77,68,39
West Virginia,2006,Indignity to Women,69,59,4
Utah,2006,Indignity to Women,236,57,10
North Dakota,2006,Indignity to Women,167,22,30
Louisiana,2006,Indignity to Women,88,42,28
Wisconsin,2006,Indignity to Women,24,12,37
District of Columbia,2006,Indignity to Women,236,44,26
New Mexico,2006,Indignity to Women,231,41,32
Montana,2007,Indignity to Women,12,47,31
Maryland,2007,Indignity to Women,245,33,20
Delaware,2007,Indignity to Women,162,31,26
Florida,2007,Indignity to Women,196,66,37
South Dakota,2007,Indignity to Women,9,13,15
Minnesota,2007,Indignity to Women,57,34,34
Georgia,2007,Indignity to Women,43,18,1
Kansas,2007,Indignity to Women,144,28,29
Indiana,2007,Indignity to Women,61,46,1
Michigan,2007,Indignity to Women,25,25,26
Missouri,2007,Indignity to Women,77,38,33
Alaska,2007,Indignity to Women,97,6,2
Arkansas,2007,Indignity to Women,189,56,34
Ohio,2007,Indignity to Women,32,34,33
West Virginia,2007,Indignity to Women,98,7,3
Utah,2007,Indignity to Women,92,5,28
North Dakota,2007,Indignity to Women,95,11,33
Louisiana,2007,Indignity to Women,62,3,23
Wisconsin,2007,Indignity to Women,22,44,29
Oklahoma,2007,Indignity to Women,165,29,22
New Mexico,2007,Indignity to Women,89,33,9
Montana,2008,Indignity to Women,210,14,30
Maryland,2008,Indignity to Women,108,32,7
Delaware,2008,Indignity to Women,131,13,38
Florida,2008,Indignity to Women,53,29,37
South Dakota,2008,Indignity to Women,91,35,40
Minnesota,2008,Indignity to Women,130,11,31
Georgia,2008,Indignity to Women,141,67,39
Kansas,2008,Indignity to Women,210,11,29
Indiana,2008,Indignity to Women,99,52,36
Michigan,2008,Indignity to Women,85,20,11
Missouri,2008,Indignity to Women,130,0,22
Arkansas,2008,Indignity to Women,45,52,27
Ohio,2008,Indignity to Women,217,9,5
West Virginia,2008,Indignity to Women,109,33,12
Utah,2008,Indignity to Women,204,40,22
North Dakota,2008,Indignity to Women,4,38,2
Louisiana,2008,Indignity to Women,46,59,12
New Mexico,2008,Indignity to Women,140,62,2
Montana,2009,Indignity to Women,90,30,8
Maryland,2009,Indignity to Women,124,63,2
Delaware,2009,Indignity to Women,119,62,31
Florida,2009,Indignity to Women,163,23,31
Colorado,2009,Indignity to Women,68,51,26
South Dakota,2009,Indignity to Women,60,49,19
Minnesota,2009,Indignity to Women,231,55,7
Georgia,2009,Indignity to Women,170,30,17
Kansas,2009,Indignity to Women,191,51,38
Indiana,2009,Indignity to Women,91,8,17
Michigan,2009,Indignity to Women,133,39,6
Arkansas,2009,Indignity to Women,70,12,20
Ohio,2009,Indignity to Women,238,28,5
West Virginia,2009,Indignity to Women,14,31,39
North Dakota,2009,Indignity to Women,166,24,27
Louisiana,2009,Indignity to Women,233,17,10
Wisconsin,2009,Indignity to Women,105,6,25
New Mexico,2009,Indignity to Women,35,67,1
Montana,2010,Indignity to Women,114,62,30
Maryland,2010,Indignity to Women,128,24,4
Florida,2010,Indignity to Women,112,41,10
South Dakota,2010,Indignity to Women,98,1,20
Minnesota,2010,Indignity to Women,198,65,4
Kansas,2010,Indignity to Women,82,20,38
Indiana,2010,Indignity to Women,232,6,2
Michigan,2010,Indignity to Women,174,38,10
Arkansas,2010,Indignity to Women,166,27,9
Ohio,2010,Indignity to Women,196,17,17
West Virginia,2010,Indignity to Women,198,31,8
North Dakota,2010,Indignity to Women,158,70,8
Louisiana,2010,Indignity to Women,150,38,16
New Mexico,2010,Indignity to Women,28,15,6
Montana,2001,Total Violations by Police,64,52,23
Maryland,2001,Total Violations by Police,32,12,18
Delaware,2001,Total Violations by Police,77,17,29
Florida,2001,Total Violations by Police,69,69,33
Colorado,2001,Total Violations by Police,56,0,33
South Dakota,2001,Total Violations by Police,96,61,35
New York,2001,Total Violations by Police,214,29,5
Minnesota,2001,Total Violations by Police,17,18,18
Georgia,2001,Total Violations by Police,113,49,37
Kansas,2001,Total Violations by Police,35,13,5
Indiana,2001,Total Violations by Police,242,46,24
South Carolina,2001,Total Violations by Police,17,7,31
Michigan,2001,Total Violations by Police,192,22,32
Alaska,2001,Total Violations by Police,102,19,34
Arkansas,2001,Total Violations by Police,42,69,23
West Virginia,2001,Total Violations by Police,235,44,16
North Dakota,2001,Total Violations by Police,210,5,9
Louisiana,2001,Total Violations by Police,80,43,26
Oregon,2001,Total Violations by Police,139,1,24
Vermont,2001,Total Violations by Police,54,26,28
District of Columbia,2001,Total Violations by Police,229,51,8
Texas,2001,Total Violations by Police,180,56,14
New Mexico,2001,Total Violations by Police,49,17,15
Montana,2002,Total Violations by Police,77,28,31
Delaware,2002,Total Violations by Police,235,49,4
Florida,2002,Total Violations by Police,19,21,6
Colorado,2002,Total Violations by Police,5,38,17
South Dakota,2002,Total Violations by Police,241,30,34
Hawaii,2002,Total Violations by Police,157,52,24
Minnesota,2002,Total Violations by Police,237,31,17
Georgia,2002,Total Violations by Police,166,53,23
Kansas,2002,Total Violations by Police,58,56,38
Indiana,2002,Total Violations by Police,233,2,13
Michigan,2002,Total Violations by Police,79,34,10
Alaska,2002,Total Violations by Police,25,7,25
Arkansas,2002,Total Violations by Police,101,31,6
West Virginia,2002,Total Violations by Police,173,43,3
North Dakota,2002,Total Violations by Police,55,13,33
Louisiana,2002,Total Violations by Police,129,32,32
Oregon,2002,Total Violations by Police,147,55,0
Vermont,2002,Total Violations by Police,57,5,18
Wisconsin,2002,Total Violations by Police,39,1,32
District of Columbia,2002,Total Violations by Police,1,70,9
New Mexico,2002,Total Violations by Police,81,59,35
Montana,2003,Total Violations by Police,181,44,12
Maryland,2003,Total Violations by Police,115,65,2
Delaware,2003,Total Violations by Police,101,64,22
Florida,2003,Total Violations by Police,20,67,27
Colorado,2003,Total Violations by Police,84,24,12
South Dakota,2003,Total Violations by Police,85,69,20
Hawaii,2003,Total Violations by Police,130,6,40
Minnesota,2003,Total Violations by Police,244,45,17
Georgia,2003,Total Violations by Police,167,56,22
Kansas,2003,Total Violations by Police,18,2,7
Indiana,2003,Total Violations by Police,108,60,26
Michigan,2003,Total Violations by Police,162,16,6
Alaska,2003,Total Violations by Police,189,65,24
Arkansas,2003,Total Violations by Police,72,4,32
West Virginia,2003,Total Violations by Police,227,18,25
North Dakota,2003,Total Violations by Police,71,39,25
Louisiana,2003,Total Violations by Police,7,52,29
Pennsylvania,2003,Total Violations by Police,20,29,24
Oregon,2003,Total Violations by Police,156,6,2
Vermont,2003,Total Violations by Police,150,7,27
Wisconsin,2003,Total Violations by Police,42,68,31
District of Columbia,2003,Total Violations by Police,17,48,13
New Mexico,2003,Total Violations by Police,183,37,26
Montana,2004,Total Violations by Police,205,58,40
Maryland,2004,Total Violations by Police,136,17,3
Florida,2004,Total Violations by Police,175,37,8
South Dakota,2004,Total Violations by Police,219,22,40
Minnesota,2004,Total Violations by Police,227,34,16
Kansas,2004,Total Violations by Police,132,58,7
Indiana,2004,Total Violations by Police,198,28,12
Michigan,2004,Total Violations by Police,31,13,1
Alaska,2004,Total Violations by Police,230,11,11
Arkansas,2004,Total Violations by Police,44,21,32
Ohio,2004,Total Violations by Police,202,15,21
West Virginia,2004,Total Violations by Police,92,46,9
Utah,2004,Total Violations by Police,35,7,24
North Dakota,2004,Total Violations by Police,19,1,9
Louisiana,2004,Total Violations by Police,127,67,8
Oregon,2004,Total Violations by Police,141,57,35
Wisconsin,2004,Total Violations by Police,14,0,13
New Mexico,2004,Total Violations by Police,29,36,30
Montana,2005,Total Violations by Police,94,2,23
Maryland,2005,Total Violations by Police,130,44,1
Delaware,2005,Total Violations by Police,87,64,26
Colorado,2005,Total Violations by Police,249,28,17
South Dakota,2005,Total Violations by Police,167,23,7
Minnesota,2005,Total Violations by Police,183,37,35
Georgia,2005,Total Violations by Police,111,33,3
Kansas,2005,Total Violations by Police,170,26,2
Indiana,2005,Total Violations by Police,213,58,29
South Carolina,2005,Total Violations by Police,243,46,0
Michigan,2005,Total Violations by Police,167,52,12
Missouri,2005,Total Violations by Police,109,51,37
Alaska,2005,Total Violations by Police,193,6,25
Arkansas,2005,Total Violations by Police,242,10,28
Ohio,2005,Total Violations by Police,227,59,21
West Virginia,2005,Total Violations by Police,138,65,30
Utah,2005,Total Violations by Police,150,27,9
North Dakota,2005,Total Violations by Police,88,18,22
Louisiana,2005,Total Violations by Police,91,29,38
Oregon,2005,Total Violations by Police,167,55,3
Wisconsin,2005,Total Violations by Police,189,49,18
